identifier,title,date,language,collection,url,keywords
dr_composite-map-of-tavola-1-60-map-of-the-world-with-additional-spheres-10130087,(Composite map of) Tavola 1-60. (Map of the World) (with additional spheres and labels in the four corners).,1587,[None],david-rumsey-map-collection,https://archive.org/download/dr_composite-map-of-tavola-1-60-map-of-the-world-with-additional-spheres-10130087/10130087.jpg,#datavisualization #art
dr_composite-map-mappemonde-dress-es-en-1450-par-fra-mauro-cosmographe-vene-11177007,"(Composite map) Mappemonde dress es en 1450, par Fra Mauro cosmographe Venetien. Par order d'Alphonse V. Roide Portugal. Publiee pour la premiere fois de la grandeur de l'original avec toutes les Legendes par Le Vicomte de Santarem, 1854. J. J. Feuquieres, lith. Schwaerzle Sculp. Pl. I-VI.","['1450', '1854']",[None],david-rumsey-map-collection,https://archive.org/download/dr_composite-map-mappemonde-dress-es-en-1450-par-fra-mauro-cosmographe-vene-11177007/11177007.jpg,#datavisualization
dr_page-4-adams-synchronological-chart-of-universal-history-through-the-ey-6000005,"(Page 4) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_page-4-adams-synchronological-chart-of-universal-history-through-the-ey-6000005/6000005.jpg,#historical #datavisualization
dr_composite-of-adams-synchronological-chart-of-universal-history-through-6000013,"(Composite of) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_composite-of-adams-synchronological-chart-of-universal-history-through-6000013/6000013.jpg,#pictorialmap #historical #datavisualization
dr_the-histomap-of-evolution-earth-life-and-mankind-for-ten-thousand-million-9869002,"The Histomap of Evolution: earth, life and mankind for ten thousand million years. Arranged by John B. Sparks. Copyright, 1932, by John Sparks, 1942 edition. Printed and distributed in U.S.A. by Rand McNally & co. HZ 011. (Cover title) From the flaming planet to modern man: The Histomap of Evolution : Ten thousand million years of evolution on single page. One dollar.",1942,[None],david-rumsey-map-collection,https://archive.org/download/dr_the-histomap-of-evolution-earth-life-and-mankind-for-ten-thousand-million-9869002/9869002.jpg,#pictorialmap #datavisualization
dr_the-histomap-four-thousand-years-of-world-history-relative-power-of-conte-1810001,"The Histomap. Four Thousand Years Of World History. Relative Power Of Contemporary States, Nations And Empires. Copyright by John B. Sparks. Published by Histomap, Inc. Chicago, Ill. Printed and distributed in the U.S.A. by Rand McNally & Co., Chicago, Ill.",1931,[None],david-rumsey-map-collection,https://archive.org/download/dr_the-histomap-four-thousand-years-of-world-history-relative-power-of-conte-1810001/1810001.jpg,#pictorialmap #historical #datavisualization
dr_cosmological-diagram-the-world-of-mortals-12047000,(Cosmological Diagram-The World of Mortals.),1850,[None],david-rumsey-map-collection,https://archive.org/download/dr_cosmological-diagram-the-world-of-mortals-12047000/12047000.jpg,#religions #pictorialmap #celestial #datavisualization
dr_the-histomap-of-religion-the-story-of-mans-search-for-spiritual-unity-by-10260005,"The Histomap of Religion: The Story of Man's Search for Spiritual Unity. By John B. Sparks. Copyright 1943 by John B. Sparks. Edition of 1952. Printed by Rand McNally & Company, Chicago Illinois. Printed in U.S.A. HW 012.",1952,[None],david-rumsey-map-collection,https://archive.org/download/dr_the-histomap-of-religion-the-story-of-mans-search-for-spiritual-unity-by-10260005/10260005.jpg,#pictorialmap #datavisualization
dr_the-geologic-time-spiral-a-path-to-the-past-general-interest-publication-5-10627000,The Geologic Time Spiral-A Path to the Past. General Interest Publication 58.,2008,[None],david-rumsey-map-collection,https://archive.org/download/dr_the-geologic-time-spiral-a-path-to-the-past-general-interest-publication-5-10627000/10627000.jpg,#pictorialmap #geology #datavisualization
dr_page-6-adams-synchronological-chart-of-universal-history-through-the-ey-6000007,"(Page 6) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_page-6-adams-synchronological-chart-of-universal-history-through-the-ey-6000007/6000007.jpg,#historical #datavisualization
dr_page-1-adams-synchronological-chart-of-universal-history-through-the-ey-6000002,"(Page 1) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_page-1-adams-synchronological-chart-of-universal-history-through-the-ey-6000002/6000002.jpg,#historical #datavisualization
dr_panoramic-plan-of-the-principal-rivers-and-lakes-drawn--engraved-by-john-13033034,"Panoramic plan of the principal rivers and lakes. Drawn & Engraved by John Emslie. London. Published by James Reynolds, 174, Strand. (to accompany) Reynolds introduction to natural philosophy.",1850,[None],david-rumsey-map-collection,https://archive.org/download/dr_panoramic-plan-of-the-principal-rivers-and-lakes-drawn--engraved-by-john-13033034/13033034.jpg,#pictorialmap #datavisualization #rivers
dr_mountains-drawn--engraved-by-john-emslie-london-published-by-james-reyn-13033032,"Mountains. Drawn & Engraved by John Emslie. London. Published by James Reynolds, 174, Strand. (to accompany) Reynolds introduction to natural philosophy.",1850,[None],david-rumsey-map-collection,https://archive.org/download/dr_mountains-drawn--engraved-by-john-emslie-london-published-by-james-reyn-13033032/13033032.jpg,#pictorialmap #datavisualization #mountains;rivers
dr_page-7-adams-synchronological-chart-of-universal-history-through-the-ey-6000008,"(Page 7) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_page-7-adams-synchronological-chart-of-universal-history-through-the-ey-6000008/6000008.jpg,#historical #datavisualization
dr_page-10-adams-synchronological-chart-of-universal-history-through-the-e-6000011,"(Page 10) Adams' Synchronological Chart of Universal History. Through the Eye to the Mind. A Chronological chart of Ancient, Modern and Biblical History, Synchronized by Sebastian C. Adams. Third Edition and Twelfth-Thousand carefully and critically revised and brought down to 1878. Colby & Co. Publishers, 39 Union Square, New York. The Strowbridge Lithographing Company, Cincinnati, O. Entered According to Act of Congress in the Year A.D. 1871, by S.C. Admas, in the Office of the Librarian of Congress at Washington, D.C. (On the title page) Adams' Synchronological Chart of Universal History...Through the Eye to the Mind.",1881,[None],david-rumsey-map-collection,https://archive.org/download/dr_page-10-adams-synchronological-chart-of-universal-history-through-the-e-6000011/6000011.jpg,#historical #datavisualization
dr_systema-solare-et-planetarium-12129006,Systema Solare et Planetarium.,1742,[None],david-rumsey-map-collection,https://archive.org/download/dr_systema-solare-et-planetarium-12129006/12129006.jpg,#celestial #datavisualization
dr_ottoman-empire--------istanbul-1309-ru-10481000,"(Ottoman Empire) ممالك محرسى وشاهانى بك حاى واولديغى بلاد Istanbul, 1309 Rumi Calendar [1893].",1893,[None],david-rumsey-map-collection,https://archive.org/download/dr_ottoman-empire--------istanbul-1309-ru-10481000/10481000.jpg,#datavisualization #ottomanmapping
dr_historic-and-prophetic-diagram-of-the-world--gods-plan-of-salvation-for-l-13191004,"Historic and prophetic diagram of the world : God's plan of salvation for law breakers. (Text) The Story of the Ages from Creation to Redemption key to historic and prophetic diagram of the world ... By J. Elwin Woodward. Historic and Prophetic Publishing Company, Not Inc. Chicago, Ill., U.S.A. Copyrighted, 1912 by J. Elwin Woodward, London, England.",1912,[None],david-rumsey-map-collection,https://archive.org/download/dr_historic-and-prophetic-diagram-of-the-world--gods-plan-of-salvation-for-l-13191004/13191004.jpg,#pictorialmap #religions #datavisualization
